no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1, Not Graduate, Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000, Rejected
5, Not Graduate, No,700000,2400000,20,330,1300000,700000,2500000,500000, Rejected
5, Graduate, No,9400000,25800000,14,625,28200000,15400000,30800000,11100000, Approved
3, Not Graduate, Yes,800000,2900000,10,644,600000,500000,2900000,400000, Approved
5, Not Graduate, No,4400000,14900000,4,865,8200000,6200000,14900000,3500000, Approved
1, Graduate, Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000, Approved
2, Not Graduate, No,2300000,5000000,8,884,1400000,1700000,6100000,1500000, Approved
5, Graduate, Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000, Approved
2, Graduate, No,7600000,28300000,12,800,19700000,14800000,15600000,7800000, Approved
2, Graduate, No,3200000,12600000,18,796,6200000,3500000,9600000,2000000, Approved
4, Not Graduate, No,2400000,5000000,4,716,1500000,2800000,6900000,1400000, Approved
0, Graduate, Yes,500000,1100000,18,479,1500000,500000,1800000,600000, Rejected
3, Not Graduate, Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000, Approved
0, Graduate, Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000, Approved
0, Graduate, No,2800000,5600000,8,842,0,1300000,6100000,1900000, Approved
3, Not Graduate, Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000, Approved
1, Graduate, Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000, Approved
5, Not Graduate, No,9600000,20700000,14,442,25800000,9800000,31800000,8200000, Rejected
3, Graduate, Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000, Rejected
3, Not Graduate, No,2800000,5900000,4,461,1600000,400000,8900000,2800000, Rejected
2, Graduate, No,7800000,22200000,10,735,9700000,4600000,23000000,6900000, Approved
4, Graduate, Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000, Approved
0, Graduate, No,4400000,10600000,20,653,6800000,4600000,16800000,5400000, Approved
0, Not Graduate, No,7900000,30800000,4,726,5000000,14600000,23800000,5500000, Approved
1, Graduate, No,8900000,22600000,18,617,8400000,15500000,27900000,11700000, Approved
0, Graduate, No,5600000,13400000,2,460,3400000,4100000,14800000,4100000, Rejected
1, Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000, Rejected
5, Graduate, Yes,500000,1400000,4,471,500000,100000,1300000,300000, Rejected
1, Graduate, Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000, Approved
3, Graduate, No,9800000,25600000,10,404,24400000,6700000,37000000,11500000, Rejected
2, Graduate, Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000, Approved
3, Not Graduate, No,1600000,3900000,20,804,900000,2500000,3200000,800000, Approved
1, Not Graduate, Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000, Rejected
0, Graduate, No,9500000,22600000,6,861,24700000,13200000,29000000,5600000, Approved
2, Not Graduate, Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000, Approved
0, Not Graduate, No,5100000,13600000,18,351,1700000,3700000,14400000,7600000, Rejected
2, Not Graduate, Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000, Rejected
5, Graduate, No,8800000,18800000,14,836,17300000,10100000,32700000,5400000, Approved
4, Not Graduate, Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000, Approved
3, Graduate, No,8700000,30500000,2,443,11800000,1800000,24600000,8100000, Approved
5, Not Graduate, No,6100000,23600000,4,725,17400000,5100000,15600000,4800000, Approved
2, Not Graduate, Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000, Approved
1, Not Graduate, No,9900000,38700000,6,670,19400000,12600000,35800000,6500000, Approved
0, Graduate, No,5800000,21100000,6,414,7900000,2400000,16000000,5600000, Rejected
2, Not Graduate, Yes,9500000,37000000,8,887,21800000,18300000,19200000,11700000, Approved
3, Graduate, Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000, Rejected
1, Not Graduate, Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000, Approved
4, Graduate, Yes,700000,2600000,18,478,600000,600000,2100000,300000, Rejected
3, Graduate, No,600000,1200000,2,752,1100000,500000,2300000,700000, Approved
0, Graduate, No,9400000,33000000,4,616,15400000,5000000,25100000,7800000, Approved
2, Not Graduate, Yes,3800000,12500000,14,842,3700000,6700000,14600000,5300000, Approved
3, Graduate, Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000, Approved
3, Graduate, Yes,7800000,27700000,6,430,2000000,8000000,26100000,5300000, Rejected
4, Not Graduate, No,2700000,7000000,4,351,1100000,2300000,8300000,2700000, Rejected
5, Not Graduate, No,600000,2300000,4,347,0,0,1900000,200000, Rejected
3, Not Graduate, Yes,8000000,28800000,10,576,18800000,7500000,16300000,11900000, Approved
0, Not Graduate, Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000, Approved
1, Not Graduate, Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000, Approved
2, Graduate, No,5800000,13300000,4,878,8400000,5400000,18600000,4500000, Approved
3, Graduate, Yes,2400000,4800000,12,895,6800000,300000,7300000,3300000, Approved
4, Not Graduate, No,7600000,29700000,6,603,3200000,2900000,27800000,11000000, Approved
2, Not Graduate, Yes,2500000,6900000,12,325,5800000,1600000,6400000,3600000, Rejected
2, Graduate, No,3300000,11800000,4,393,5700000,3700000,6800000,2600000, Approved
3, Graduate, No,9800000,30300000,2,612,10700000,4600000,32100000,5600000, Approved
0, Graduate, Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000, Approved
0, Not Graduate, Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000, Rejected
0, Graduate, No,1900000,6800000,4,782,100000,3400000,4900000,2400000, Approved
3, Graduate, No,3100000,8500000,12,493,8700000,5100000,12000000,2000000, Rejected
5, Graduate, Yes,6000000,11900000,2,629,2500000,0,19200000,4200000, Approved
5, Not Graduate, No,6500000,21600000,10,419,1600000,10900000,22300000,6600000, Rejected
2, Not Graduate, Yes,5900000,15800000,2,444,14300000,4300000,20300000,5500000, Rejected
5, Not Graduate, Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000, Rejected
0, Graduate, Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000, Rejected
3, Not Graduate, Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000, Rejected
0, Graduate, No,4300000,16900000,18,469,200000,5800000,12000000,6200000, Rejected
4, Not Graduate, Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000, Approved
3, Not Graduate, No,300000,500000,2,477,700000,200000,800000,400000, Rejected
3, Not Graduate, Yes,600000,1400000,16,509,600000,300000,2400000,900000, Rejected
0, Graduate, Yes,800000,1700000,4,752,2300000,1100000,3200000,400000, Approved
0, Not Graduate, Yes,5600000,19100000,14,875,16700000,4700000,15100000,7700000, Approved
2, Not Graduate, Yes,1800000,3600000,4,343,3400000,1100000,6200000,1500000, Rejected
0, Graduate, No,6800000,20800000,20,819,16500000,11900000,26700000,8000000, Approved
2, Graduate, Yes,4200000,16800000,2,433,3300000,0,14100000,3700000, Approved
1, Not Graduate, Yes,200000,400000,6,768,300000,100000,600000,0, Approved
2, Graduate, Yes,8500000,31800000,6,714,17000000,900000,26600000,5600000, Approved
2, Not Graduate, Yes,2800000,10100000,16,531,2900000,2900000,7200000,4100000, Rejected
0, Graduate, Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000, Rejected
1, Not Graduate, No,6200000,19500000,20,448,3300000,7100000,22400000,8000000, Rejected
1, Graduate, No,2700000,10000000,2,584,6500000,2700000,7700000,3400000, Approved
1, Graduate, No,6800000,22900000,4,501,3900000,9400000,17300000,4400000, Approved
2, Not Graduate, No,6300000,24500000,18,848,10200000,3500000,18200000,8200000, Approved
4, Not Graduate, No,8800000,19100000,6,586,17600000,8800000,20600000,12400000, Approved
1, Graduate, No,5900000,13000000,2,386,16300000,5000000,12000000,3800000, Rejected
5, Not Graduate, Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000, Rejected
2, Graduate, No,3300000,8300000,6,653,4700000,3100000,8300000,4600000, Approved
4, Graduate, Yes,300000,500000,14,448,700000,100000,800000,100000, Rejected
1, Not Graduate, Yes,4800000,11600000,16,696,1400000,9400000,11800000,6500000, Approved
1, Graduate, No,7500000,28300000,16,707,9700000,1100000,16300000,6700000, Approved
2, Not Graduate, No,8600000,21700000,4,429,5500000,10800000,30900000,6000000, Rejected
4, Not Graduate, No,8900000,21100000,6,631,4200000,200000,25800000,6200000, Approved
5, Not Graduate, Yes,9600000,29600000,4,446,22900000,3500000,36600000,13200000, Approved
0, Graduate, Yes,7700000,18100000,18,705,6100000,5100000,23800000,6300000, Approved
3, Not Graduate, Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000, Approved
4, Not Graduate, Yes,7800000,19500000,14,739,1900000,9000000,20400000,4400000, Approved
3, Graduate, No,5100000,11000000,6,336,-100000,5800000,11600000,7500000, Rejected
4, Graduate, No,9400000,32600000,4,898,18200000,4000000,22000000,10200000, Approved
4, Not Graduate, Yes,600000,2100000,6,558,1300000,1000000,2200000,300000, Approved
3, Graduate, No,5100000,13300000,4,589,11200000,2700000,20200000,6100000, Approved
2, Graduate, Yes,3800000,14400000,2,301,2300000,1400000,7600000,2400000, Rejected
2, Not Graduate, Yes,5300000,21200000,14,516,2200000,5000000,20900000,7700000, Rejected
5, Not Graduate, No,1100000,3600000,12,315,1300000,700000,3100000,1400000, Rejected
3, Not Graduate, No,6400000,14400000,10,546,10600000,10000000,21200000,5100000, Rejected
0, Not Graduate, Yes,5100000,14500000,14,559,11000000,1100000,12300000,6000000, Approved
3, Graduate, Yes,5300000,16900000,2,350,15800000,3100000,14300000,6800000, Approved
1, Graduate, No,6700000,18700000,8,583,9300000,4100000,17100000,6900000, Approved
2, Not Graduate, No,4000000,9400000,8,874,4400000,3700000,10200000,4800000, Approved
2, Not Graduate, Yes,3900000,11600000,8,808,5800000,3100000,12900000,5000000, Approved
1, Graduate, Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000, Rejected
3, Graduate, No,2700000,7800000,14,870,5400000,5300000,5700000,2100000, Approved
3, Graduate, No,1400000,3800000,8,840,1700000,200000,5300000,1500000, Approved
4, Not Graduate, Yes,8000000,19200000,18,682,2500000,8900000,19000000,5300000, Approved
3, Graduate, Yes,8200000,28900000,10,668,23800000,4500000,28700000,10900000, Approved
5, Graduate, Yes,4800000,10300000,8,781,4800000,6800000,11100000,4300000, Approved
4, Graduate, No,8100000,19000000,6,375,4100000,14500000,19100000,11900000, Rejected
4, Not Graduate, No,5900000,14900000,14,857,2600000,9500000,16000000,3500000, Approved
5, Graduate, Yes,8100000,32100000,6,823,18200000,1800000,24100000,6500000, Approved
0, Graduate, No,1400000,5000000,8,686,1800000,1900000,3200000,1500000, Approved
1, Graduate, No,1600000,6300000,2,721,3000000,600000,5200000,900000, Approved
4, Graduate, No,4600000,9400000,18,545,800000,2400000,11500000,6300000, Rejected
1, Not Graduate, No,2900000,8900000,6,523,900000,5600000,9700000,1800000, Rejected
2, Graduate, Yes,8600000,24900000,20,607,13600000,7600000,31800000,5400000, Approved
4, Not Graduate, No,3800000,14900000,20,428,6500000,3500000,12200000,2500000, Rejected
0, Not Graduate, No,8200000,20300000,4,666,13100000,10200000,25900000,7800000, Approved
3, Graduate, No,3200000,10100000,20,704,3400000,4800000,9000000,3900000, Approved
0, Not Graduate, Yes,8100000,23800000,10,794,5400000,15500000,20700000,8800000, Approved
1, Graduate, Yes,9800000,23300000,12,430,3200000,12600000,30500000,13900000, Rejected
0, Not Graduate, No,200000,500000,20,615,500000,200000,600000,200000, Approved
0, Not Graduate, No,6600000,14100000,20,360,6800000,5100000,25400000,7800000, Rejected
0, Not Graduate, No,9100000,18300000,14,458,6100000,9200000,34100000,10000000, Rejected
2, Not Graduate, No,5500000,20400000,12,887,8800000,9400000,12300000,3300000, Approved
4, Not Graduate, No,7200000,27400000,8,735,14100000,14200000,19400000,9500000, Approved
1, Not Graduate, No,2400000,5600000,16,379,3700000,600000,7200000,3400000, Rejected
4, Graduate, No,9600000,25500000,20,544,4000000,11400000,23800000,11100000, Rejected
1, Graduate, Yes,5800000,16700000,12,721,1100000,9700000,17200000,7500000, Approved
4, Not Graduate, No,2300000,6000000,8,676,6000000,400000,4800000,2200000, Approved
1, Not Graduate, No,300000,1200000,4,342,800000,100000,1100000,200000, Approved
0, Not Graduate, No,9900000,27000000,16,566,3500000,17300000,36900000,11500000, Approved
2, Not Graduate, No,3500000,14000000,2,355,8700000,1600000,11800000,2900000, Approved
2, Graduate, No,4800000,18500000,20,605,5700000,5500000,14700000,5800000, Approved
2, Not Graduate, No,1600000,5200000,16,525,300000,2900000,5600000,1600000, Rejected
5, Graduate, Yes,800000,2500000,12,403,500000,0,3200000,800000, Rejected
1, Graduate, Yes,9000000,33500000,18,727,18800000,10500000,28100000,5300000, Approved
1, Graduate, No,8300000,28900000,12,529,18300000,3900000,32500000,5800000, Rejected
4, Graduate, No,2800000,6100000,18,415,2200000,4200000,8400000,2000000, Rejected
1, Graduate, Yes,6400000,17300000,10,879,10000000,1100000,15400000,8200000, Approved
2, Not Graduate, Yes,6000000,12600000,16,649,4800000,5300000,23900000,5100000, Approved
0, Graduate, No,2900000,9800000,16,395,5400000,4300000,8600000,2400000, Rejected
0, Graduate, No,6500000,24100000,20,488,3300000,6000000,22900000,9700000, Rejected
1, Graduate, Yes,200000,400000,8,569,200000,200000,700000,300000, Approved
1, Not Graduate, No,8400000,24600000,14,817,1800000,13100000,31300000,8200000, Approved
1, Graduate, Yes,6100000,17800000,20,706,16000000,10900000,16900000,4300000, Approved
2, Graduate, Yes,8000000,31200000,8,553,6800000,3500000,21000000,10300000, Approved
5, Not Graduate, Yes,900000,1800000,14,464,2300000,300000,1800000,700000, Rejected
2, Graduate, No,7300000,20000000,6,729,13100000,10700000,17900000,9100000, Approved
4, Not Graduate, Yes,3700000,7400000,12,363,4800000,6800000,10500000,4400000, Rejected
2, Graduate, No,5200000,17200000,12,565,3500000,1300000,20000000,6300000, Approved
1, Graduate, No,7200000,21000000,14,421,3500000,11600000,21800000,4600000, Rejected
0, Not Graduate, Yes,9400000,34200000,10,512,13100000,15600000,32600000,6300000, Rejected
3, Not Graduate, Yes,3400000,12400000,2,730,2500000,3900000,12200000,4600000, Approved
0, Graduate, No,600000,2300000,8,627,1800000,500000,2200000,300000, Approved
0, Not Graduate, Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000, Rejected
2, Graduate, Yes,5900000,14300000,2,410,11900000,4400000,16900000,4100000, Rejected
3, Not Graduate, No,1300000,3600000,16,624,2400000,2300000,3300000,1900000, Approved
4, Graduate, Yes,5700000,16900000,4,656,13000000,7400000,22000000,8400000, Approved
2, Not Graduate, No,7700000,27300000,16,758,7300000,4600000,24800000,9100000, Approved
4, Not Graduate, Yes,7000000,23500000,18,336,15000000,9500000,19700000,7800000, Rejected
5, Graduate, No,8100000,21900000,18,378,5200000,3400000,16200000,9600000, Rejected
1, Graduate, Yes,1900000,4200000,4,620,4700000,2800000,7500000,900000, Approved
2, Graduate, No,4500000,9100000,18,593,-100000,600000,12400000,2500000, Approved
0, Not Graduate, Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000, Approved
1, Not Graduate, Yes,5400000,20700000,8,753,1900000,800000,19000000,3600000, Approved
1, Not Graduate, Yes,7800000,27200000,16,454,16100000,3400000,17100000,11400000, Rejected
1, Graduate, Yes,8200000,19100000,8,619,17200000,12200000,31500000,6600000, Approved
2, Graduate, No,8900000,28500000,6,367,22200000,16600000,21500000,9300000, Rejected
1, Graduate, No,1400000,3100000,20,384,200000,1200000,4200000,1800000, Rejected
2, Graduate, No,1700000,5900000,16,610,3100000,300000,3700000,1300000, Approved
0, Graduate, No,5300000,19500000,12,802,9800000,3300000,15200000,3200000, Approved
3, Graduate, No,6500000,25200000,10,858,15400000,10900000,14000000,8100000, Approved
2, Graduate, No,5900000,14000000,8,599,4700000,9500000,17800000,6700000, Approved
4, Graduate, Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000, Rejected
3, Graduate, Yes,7700000,16200000,6,380,11500000,15100000,22500000,6400000, Rejected
1, Graduate, No,7900000,27100000,10,803,20000000,9800000,22200000,6600000, Approved
4, Graduate, No,3500000,8900000,20,809,7100000,1500000,13700000,3200000, Approved
4, Not Graduate, No,2400000,6600000,2,722,6100000,3300000,5600000,3000000, Approved
5, Graduate, No,9900000,35700000,10,392,7900000,4300000,39200000,13000000, Rejected
0, Graduate, No,3900000,14500000,8,545,5900000,3000000,10300000,3400000, Rejected
2, Not Graduate, Yes,7300000,28500000,10,799,21500000,3100000,15800000,4300000, Approved
0, Graduate, Yes,6400000,21900000,12,727,15400000,10100000,24000000,5300000, Approved
4, Graduate, No,7100000,19800000,18,530,7100000,3400000,20900000,7100000, Rejected
2, Not Graduate, No,8800000,19000000,14,637,13700000,13900000,27100000,6100000, Approved
5, Graduate, No,7400000,21000000,4,561,21300000,3800000,26400000,3900000, Approved
2, Not Graduate, No,4400000,12000000,20,421,9300000,2700000,15700000,3400000, Rejected
3, Graduate, Yes,8600000,30300000,14,459,12000000,4100000,23800000,9100000, Rejected
3, Not Graduate, No,6900000,26000000,14,828,14800000,4200000,18500000,3600000, Approved
4, Graduate, No,9600000,27500000,20,679,23400000,7500000,37800000,6300000, Approved
2, Graduate, Yes,8100000,25700000,8,455,22300000,11500000,19800000,9500000, Rejected
0, Not Graduate, No,2600000,9400000,18,879,2800000,1400000,5100000,2300000, Approved
3, Graduate, Yes,9300000,26100000,14,636,4700000,16100000,34500000,11600000, Approved
2, Not Graduate, Yes,2100000,5600000,16,426,400000,300000,7100000,1200000, Rejected
4, Not Graduate, Yes,9000000,21500000,14,508,16600000,17300000,24300000,13100000, Rejected
3, Not Graduate, Yes,7000000,19200000,4,768,8600000,13700000,19200000,7700000, Approved
3, Not Graduate, No,2200000,6400000,20,667,6300000,3900000,8300000,2900000, Approved
5, Graduate, Yes,7500000,28200000,2,440,8200000,5800000,24400000,6000000, Approved
1, Graduate, Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000, Rejected
2, Not Graduate, No,300000,600000,2,383,600000,300000,1100000,400000, Rejected
0, Not Graduate, Yes,300000,800000,4,603,800000,200000,600000,200000, Approved
3, Graduate, No,3900000,14900000,4,728,4700000,4000000,14900000,5500000, Approved
0, Not Graduate, No,6600000,20300000,6,549,10800000,900000,23100000,9800000, Rejected
0, Graduate, No,4100000,10700000,8,855,11500000,700000,11200000,3100000, Approved
5, Graduate, Yes,1800000,5300000,12,461,2800000,2000000,4700000,2000000, Rejected
3, Not Graduate, Yes,7000000,16100000,16,379,2000000,5200000,23000000,10000000, Rejected
2, Not Graduate, Yes,5100000,13700000,6,559,7800000,9800000,12700000,5100000, Approved
1, Not Graduate, Yes,300000,600000,8,816,600000,300000,1100000,200000, Approved
4, Not Graduate, Yes,4300000,11400000,2,560,10000000,3900000,8900000,3300000, Approved
0, Graduate, Yes,3200000,12000000,14,645,5200000,1400000,12100000,3400000, Approved
4, Not Graduate, Yes,4200000,11500000,6,551,10600000,7600000,11300000,5000000, Approved
0, Not Graduate, Yes,9600000,22900000,8,515,4300000,14700000,33300000,7800000, Rejected
4, Graduate, No,1300000,3600000,10,657,3200000,1900000,2900000,1100000, Approved
3, Not Graduate, No,2400000,9300000,2,682,3100000,4400000,5200000,1500000, Approved
0, Graduate, No,600000,1600000,10,588,1600000,100000,1100000,300000, Approved
5, Graduate, Yes,9600000,38000000,10,359,2100000,13600000,38200000,9400000, Rejected
0, Graduate, No,400000,1200000,4,766,900000,300000,1200000,300000, Approved
4, Graduate, No,5900000,19900000,14,469,14200000,6800000,22100000,3200000, Rejected
0, Graduate, Yes,700000,1400000,10,618,1300000,200000,1700000,500000, Approved
0, Not Graduate, Yes,8600000,17700000,20,711,22000000,0,30800000,7400000, Approved
0, Graduate, Yes,9000000,34000000,4,549,2000000,8900000,20000000,12400000, Approved
3, Graduate, Yes,5100000,20400000,6,754,1700000,2600000,11800000,7600000, Approved
4, Not Graduate, Yes,500000,1500000,6,461,1300000,500000,1700000,200000, Rejected
2, Graduate, No,1600000,3800000,10,837,3800000,1100000,5500000,1600000, Approved
0, Graduate, Yes,9800000,23900000,14,459,1000000,13400000,21100000,7200000, Rejected
4, Graduate, No,7800000,29700000,20,614,22000000,700000,26800000,6300000, Approved
4, Not Graduate, No,6500000,24000000,16,373,5600000,5100000,15600000,6700000, Rejected
5, Graduate, Yes,7500000,26500000,12,512,16500000,2900000,23700000,6000000, Rejected
4, Graduate, Yes,8900000,23400000,18,781,16500000,3100000,24900000,5800000, Approved
4, Graduate, Yes,1800000,5800000,14,305,600000,3300000,3600000,2000000, Rejected
1, Not Graduate, Yes,7600000,27800000,6,447,1300000,700000,20100000,10900000, Rejected
4, Graduate, Yes,1200000,4600000,6,757,1900000,200000,4800000,1500000, Approved
5, Graduate, Yes,2700000,10400000,2,723,2800000,700000,10300000,1400000, Approved
1, Not Graduate, Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000, Rejected
2, Not Graduate, No,6900000,18700000,10,699,12800000,5700000,21200000,5200000, Approved
4, Graduate, Yes,8400000,25200000,2,308,8100000,9300000,27700000,10500000, Approved
0, Graduate, No,300000,500000,18,702,300000,400000,1200000,100000, Approved
2, Not Graduate, Yes,9500000,37500000,4,456,10200000,16800000,34100000,12900000, Approved
3, Graduate, Yes,1900000,5900000,8,651,700000,2100000,6200000,1500000, Approved
3, Not Graduate, No,4200000,14500000,20,840,4500000,5900000,8900000,4600000, Approved
4, Graduate, Yes,2200000,7900000,18,848,5100000,1700000,8500000,1600000, Approved
5, Graduate, Yes,7100000,19700000,4,727,7700000,12900000,23600000,5800000, Approved
4, Graduate, No,3500000,11600000,10,335,6300000,5200000,10300000,2300000, Rejected
5, Not Graduate, No,400000,800000,18,304,900000,500000,1400000,400000, Rejected
2, Graduate, Yes,8800000,34400000,2,712,10500000,12500000,29300000,5900000, Approved
0, Not Graduate, No,1800000,6600000,10,737,5000000,2000000,6000000,1500000, Approved
1, Graduate, Yes,7600000,29300000,14,690,13900000,4000000,30000000,9100000, Approved
1, Graduate, Yes,1000000,3200000,4,888,2000000,1500000,2200000,1300000, Approved
2, Not Graduate, Yes,8200000,27200000,10,839,9200000,6400000,25500000,6000000, Approved
5, Not Graduate, Yes,3600000,12400000,8,333,8800000,1000000,10700000,4000000, Rejected
5, Graduate, No,9400000,23700000,18,862,21500000,3500000,22400000,5600000, Approved
5, Not Graduate, No,2600000,9100000,4,309,6400000,1400000,5900000,3400000, Approved
5, Not Graduate, No,9500000,30700000,10,823,16300000,3700000,30300000,13100000, Approved
0, Graduate, Yes,3500000,11700000,14,649,2700000,700000,11400000,4800000, Approved
5, Not Graduate, Yes,9800000,35700000,10,726,9400000,18900000,31200000,12000000, Approved
4, Graduate, No,800000,3100000,18,712,400000,700000,1900000,1100000, Approved
0, Not Graduate, No,9700000,37300000,20,701,12100000,16200000,24100000,10500000, Approved
3, Graduate, No,6200000,21300000,12,655,6500000,11600000,19200000,5000000, Approved
1, Not Graduate, Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000, Rejected
2, Graduate, No,1800000,3800000,4,777,5100000,2700000,4600000,1400000, Approved
3, Graduate, No,1700000,5300000,14,696,300000,700000,4500000,800000, Approved
3, Graduate, No,3900000,14100000,16,496,2500000,2200000,13700000,2900000, Rejected
2, Graduate, Yes,2200000,7900000,6,659,3400000,1800000,8600000,2400000, Approved
3, Not Graduate, Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000, Rejected
2, Not Graduate, No,2200000,8700000,18,729,3900000,3300000,7600000,1300000, Approved
1, Graduate, No,8100000,28400000,6,744,20300000,10500000,21800000,7700000, Approved
4, Not Graduate, No,6800000,17000000,2,749,18000000,3800000,27100000,9400000, Approved
0, Graduate, No,4700000,14800000,20,755,12300000,5000000,15400000,3700000, Approved
3, Graduate, Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000, Rejected
3, Graduate, Yes,3500000,13000000,6,391,6100000,3500000,13300000,4300000, Rejected
1, Not Graduate, Yes,3500000,11600000,10,898,3100000,2700000,9000000,4500000, Approved
5, Not Graduate, No,500000,1500000,12,527,100000,600000,1100000,200000, Rejected
5, Not Graduate, No,9900000,35800000,20,470,9500000,18400000,39100000,14700000, Rejected
1, Graduate, No,8400000,25000000,12,694,5300000,14900000,23000000,7700000, Approved
1, Graduate, No,5000000,18800000,14,325,13100000,5700000,12800000,4300000, Rejected
4, Not Graduate, Yes,5500000,13400000,10,880,300000,800000,19900000,2800000, Approved
5, Graduate, Yes,3000000,11900000,14,459,6000000,4800000,11700000,4200000, Rejected
3, Not Graduate, Yes,9400000,21400000,10,323,5100000,15500000,29600000,11300000, Rejected
4, Graduate, No,7600000,29000000,8,739,22100000,8100000,22100000,8800000, Approved
0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000, Approved
1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000, Rejected
3, Graduate, No,7700000,27700000,4,439,13900000,7500000,27100000,6200000, Approved
2, Graduate, No,9800000,25400000,2,655,19900000,4600000,21300000,7900000, Approved
3, Not Graduate, No,3200000,9200000,14,443,3300000,1100000,7200000,4500000, Rejected
2, Graduate, No,700000,2600000,20,489,100000,200000,2400000,900000, Rejected
4, Not Graduate, Yes,3100000,8600000,14,427,3100000,3800000,9900000,3700000, Rejected
0, Graduate, Yes,4500000,10500000,20,417,9800000,2000000,9600000,5800000, Rejected
5, Not Graduate, Yes,8900000,24800000,18,842,16200000,5000000,20000000,8100000, Approved
3, Not Graduate, No,5900000,23200000,2,307,15500000,10000000,21100000,6300000, Approved
2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000, Rejected
4, Not Graduate, Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000, Rejected
3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000, Rejected
4, Graduate, No,8000000,31500000,18,683,10300000,7900000,30100000,9600000, Approved
1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000, Approved
4, Not Graduate, No,3900000,10000000,10,530,10900000,200000,12300000,1900000, Rejected
3, Graduate, No,1600000,3500000,10,844,4500000,2200000,5200000,1600000, Approved
2, Not Graduate, Yes,3900000,13900000,18,715,5000000,5600000,9900000,2100000, Approved
3, Graduate, Yes,8000000,26300000,12,476,21700000,6600000,16400000,9000000, Rejected
2, Graduate, No,2200000,4800000,6,721,1800000,100000,6900000,2200000, Approved
4, Not Graduate, No,7600000,30300000,12,339,20400000,8000000,22200000,5800000, Rejected
5, Not Graduate, Yes,2700000,6800000,6,461,4500000,2000000,8200000,1700000, Rejected
2, Graduate, Yes,6300000,23200000,12,556,7000000,8300000,24200000,5300000, Approved
3, Not Graduate, No,7700000,18700000,8,483,15100000,5600000,24600000,10200000, Rejected
2, Graduate, No,4500000,17200000,18,406,4100000,6300000,13800000,3300000, Rejected
2, Graduate, Yes,9400000,24800000,14,513,24200000,18200000,37200000,7500000, Rejected
0, Not Graduate, No,4600000,12600000,16,574,3400000,6200000,15100000,3600000, Approved
0, Graduate, Yes,5200000,15700000,6,692,3800000,7000000,12800000,5500000, Approved
5, Graduate, Yes,8000000,29800000,18,867,17700000,14100000,22800000,9200000, Approved
1, Not Graduate, Yes,9900000,38500000,2,875,19600000,2900000,20200000,6500000, Approved
4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000, Approved
